"species_temp_cat","intercept","slope","intercept.ciL","slope.ciL","intercept.ciH","slope.ciH","species","test_category3","size_min","size_max","n","temp_min","temp_max","MR"
"Abbottina rivularis_ecol_relev",-2.06,1.14,-3.83,0.5,-0.29,1.79,"Abbottina rivularis","ecol_relev",8.6,20.69,6,25,25,"AMR"
"Acanthochromis polyacanthus_ecol_relev",0.22,0.67,-0.42,0.47,0.85,0.88,"Acanthochromis polyacanthus","ecol_relev",15.1,35.4,50,26,30,"AMR"
"Acanthochromis polyacanthus_warm",-0.58,0.95,-3.3,0.11,2.14,1.78,"Acanthochromis polyacanthus","warm",20.23,33.8,24,31.5,33,"AMR"
"Acanthurus triostegus_ecol_relev",1.56,0.42,-0.59,-0.11,3.71,0.96,"Acanthurus triostegus","ecol_relev",45.31,72.41,19,24.5,28.5,"AMR"
"Acanthurus triostegus_warm",0.35,0.77,-0.66,0.52,1.35,1.01,"Acanthurus triostegus","warm",42.35,87.03,32,26.5,32.5,"AMR"
"Acipenser medirostris_ecol_relev",-0.34,0.97,-1.08,0.68,0.4,1.25,"Acipenser medirostris","ecol_relev",7.49,21.75,33,13,19,"AMR"
"Acipenser medirostris_warm",-0.55,1.09,-1.28,0.81,0.18,1.37,"Acipenser medirostris","warm",8.35,31.01,73,11,31,"AMR"
"Acrossocheilus monticola_ecol_relev",1.06,0.71,-0.24,0.29,2.35,1.13,"Acrossocheilus monticola","ecol_relev",11.5,31.3,8,25,25,"AMR"
"Amphistichus argenteus_ecol_relev",-0.17,0.81,-0.25,0.79,-0.09,0.83,"Amphistichus argenteus","ecol_relev",5.05,711.5,144,16,20,"AMR"
"Amphistichus argenteus_warm",-0.09,0.84,-0.2,0.81,0.03,0.88,"Amphistichus argenteus","warm",5.67,230.5,28,22,22,"AMR"
"Aphanius iberus_ecol_relev",-1.37,0.15,-1.63,-0.05,-1.12,0.35,"Aphanius iberus","ecol_relev",0.06,1.4,110,20,20,"AMR"
"Boreogadus saida_ecol_relev",-1.87,1.08,-3.84,0.47,0.09,1.69,"Boreogadus saida","ecol_relev",16.1,48.6,13,0,6,"AMR"
"Boreogadus saida_warm",-2.65,1.44,-4.47,0.81,-0.83,2.06,"Boreogadus saida","warm",11.4,24.9,5,8,8,"AMR"
"Caesio cuning_ecol_relev",-1.04,1.5,-2.17,0.96,0.09,2.05,"Caesio cuning","ecol_relev",6.09,10.72,30,29,29,"AMR"
"Carassius auratus_ecol_relev",-0.25,0.77,-0.42,0.73,-0.07,0.82,"Carassius auratus","ecol_relev",1.2,323.2,117,18,25,"AMR"
"Centropristis striata_ecol_relev",-1.21,1,-2.99,0.7,0.57,1.31,"Centropristis striata","ecol_relev",202,602.3,65,13,24.1,"AMR"
"Centropristis striata_warm",1.17,0.65,-0.08,0.43,2.42,0.86,"Centropristis striata","warm",193.7,700.4,50,27.4,30.2,"AMR"
"Channa argus_ecol_relev",0.52,0.06,-0.63,-0.89,1.66,1.02,"Channa argus","ecol_relev",2.8,3.9,8,25,25,"AMR"
"Chromis atripectoralis_warm",0.11,0.75,-0.18,0.52,0.4,0.98,"Chromis atripectoralis","warm",1.6,5.51,32,29,35,"AMR"
"Chrysoblephus laticeps_ecol_relev",-0.46,0.88,-1.86,0.67,0.94,1.09,"Chrysoblephus laticeps","ecol_relev",365,1672,33,16,16,"AMR"
"Chrysoblephus laticeps_warm",-0.72,0.97,-1.79,0.81,0.35,1.13,"Chrysoblephus laticeps","warm",365,1672,30,21,24,"AMR"
"Coryphaena hippurus_ecol_relev",1.46,0.7,0.04,0.31,2.88,1.09,"Coryphaena hippurus","ecol_relev",20.7,52.82,28,24,28,"AMR"
"Coryphaena hippurus_warm",0.29,1.08,-0.67,0.81,1.25,1.34,"Coryphaena hippurus","warm",16.5,61.7,13,32,32,"AMR"
"Ctenopharyngodon idella_ecol_relev",1.32,-0.27,0.18,-0.94,2.47,0.39,"Ctenopharyngodon idella","ecol_relev",2.9,8.8,15,25,25,"AMR"
"Cyprinus carpio_ecol_relev",-1.95,1.6,-3.12,1,-0.77,2.2,"Cyprinus carpio","ecol_relev",4.7,16.7,16,25,25,"AMR"
"Dicentrarchus labrax_ecol_relev",-1.7,-0.26,-2.86,-0.89,-0.54,0.37,"Dicentrarchus labrax","ecol_relev",0.06,0.29,12,17,17,"AMR"
"Dicentrarchus labrax_warm",-1.25,-0.26,-2.09,-0.94,-0.41,0.43,"Dicentrarchus labrax","warm",0.2,0.6,16,19,19,"AMR"
"Discogobio yunnanensis_ecol_relev",1.78,0.36,0.1,-0.34,3.46,1.07,"Discogobio yunnanensis","ecol_relev",8.3,17,8,25,25,"AMR"
"Fundulus grandis_ecol_relev",-0.75,1.09,-0.89,1,-0.62,1.18,"Fundulus grandis","ecol_relev",2.06,8.61,170,25,25,"AMR"
"Fundulus grandis_warm",-0.61,1.09,-0.91,0.89,-0.3,1.3,"Fundulus grandis","warm",2.42,7.1,42,32,32,"AMR"
"Fundulus parvipinnis_warm",0.14,0.71,-0.08,0.35,0.36,1.07,"Fundulus parvipinnis","warm",0.38,1.02,13,19,19,"AMR"
"Gadus macrocephalus_ecol_relev",-2.22,1.07,-2.99,0.9,-1.45,1.24,"Gadus macrocephalus","ecol_relev",46.74,140.3,61,1.6,7.6,"AMR"
"Gadus macrocephalus_warm",-0.58,0.73,-2.08,0.39,0.92,1.07,"Gadus macrocephalus","warm",61.6,123.54,39,9.6,14.8,"AMR"
"Gambusia holbrooki_ecol_relev",0.39,0.73,0.27,0.32,0.51,1.14,"Gambusia holbrooki","ecol_relev",0.59,1.22,10,30,30,"AMR"
"Gasterosteus aculeatus_ecol_relev",-0.26,1,-0.32,0.93,-0.2,1.08,"Gasterosteus aculeatus","ecol_relev",0.46,5.75,317,5,20,"AMR"
"Gasterosteus aculeatus_warm",0.12,0.68,-0.08,0.4,0.32,0.95,"Gasterosteus aculeatus","warm",1.18,4.18,77,20,20,"AMR"
"Girella nigricans_ecol_relev",-0.67,0.9,-1.4,0.65,0.07,1.16,"Girella nigricans","ecol_relev",7.96,39.2,33,12,20,"AMR"
"Gobiocypris rarus_ecol_relev",0.26,-0.23,-0.75,-3.5,1.26,3.04,"Gobiocypris rarus","ecol_relev",1.11,1.52,8,25,25,"AMR"
"Halichoeres melanurus_ecol_relev",0.34,1.02,0.05,0.47,0.63,1.57,"Halichoeres melanurus","ecol_relev",0.25,1.47,10,29,29,"AMR"
"Halichoeres melanurus_warm",0,0.91,-0.18,0.57,0.19,1.25,"Halichoeres melanurus","warm",0.33,1.47,18,31,31,"AMR"
"Halichoeres miniatus_ecol_relev",0.56,0.5,0.3,-0.12,0.81,1.11,"Halichoeres miniatus","ecol_relev",0.54,2.03,6,29,29,"AMR"
"Halichoeres miniatus_warm",0.02,0.59,-0.13,0.21,0.17,0.97,"Halichoeres miniatus","warm",0.45,2.03,15,31,31,"AMR"
"Hemibagrus macropterus_ecol_relev",-0.35,0.99,-1.05,0.74,0.36,1.25,"Hemibagrus macropterus","ecol_relev",9.8,26.6,8,25,25,"AMR"
"Hemibarbus maculatus_ecol_relev",1.52,0.25,-0.57,-0.63,3.62,1.13,"Hemibarbus maculatus","ecol_relev",8.3,17,8,25,25,"AMR"
"Hemiculter leucisculus_ecol_relev",-1.84,1.29,-4.28,0.43,0.6,2.15,"Hemiculter leucisculus","ecol_relev",9.84,25.35,8,25,25,"AMR"
"Hemiscyllium ocellatum_ecol_relev",-1.98,1.04,-3.75,0.44,-0.2,1.63,"Hemiscyllium ocellatum","ecol_relev",15.5,23.5,8,27,27,"AMR"
"Hemiscyllium ocellatum_warm",-4.19,1.77,-7.83,0.53,-0.56,3.01,"Hemiscyllium ocellatum","warm",16,21.5,19,27,31,"AMR"
"Hypophthalmichthys molitrix_ecol_relev",0.98,-0.12,-0.82,-1.16,2.79,0.93,"Hypophthalmichthys molitrix","ecol_relev",3.4,8.4,15,25,25,"AMR"
"Hypophthalmichthys nobilis_ecol_relev",-3.67,2.22,-4.33,1.94,-3.01,2.51,"Hypophthalmichthys nobilis","ecol_relev",5.2,16.5,16,25,25,"AMR"
"Lates calcarifer_ecol_relev",0.18,0.76,-0.03,0.71,0.38,0.82,"Lates calcarifer","ecol_relev",23.08,176.91,245,23,29,"AMR"
"Lates calcarifer_warm",0.69,0.71,0.51,0.66,0.87,0.76,"Lates calcarifer","warm",22.52,176.91,193,29,35,"AMR"
"Lates niloticus_ecol_relev",0.93,0.58,0.64,0.49,1.21,0.66,"Lates niloticus","ecol_relev",7.34,81.04,91,25,31,"AMR"
"Lates niloticus_warm",0.93,0.67,0.72,0.59,1.15,0.74,"Lates niloticus","warm",4.62,50.08,47,31,35,"AMR"
"Lutjanus fulvus_ecol_relev",-0.4,0.91,-1.5,0.62,0.7,1.2,"Lutjanus fulvus","ecol_relev",22.21,82.84,23,24,27.5,"AMR"
"Lutjanus fulvus_warm",0.21,0.84,-0.46,0.67,0.87,1.02,"Lutjanus fulvus","warm",24.29,83.19,12,31,31,"AMR"
"Macquaria ambigua_ecol_relev",-0.95,0.74,-1.89,-0.62,0,2.09,"Macquaria ambigua","ecol_relev",1.23,2.77,14,30,30,"AMR"
"Megalobrama pellegrini_ecol_relev",0.55,0.4,0.04,0.02,1.06,0.78,"Megalobrama pellegrini","ecol_relev",2.9,4.5,8,25,25,"AMR"
"Metahomaloptera omeiensis_ecol_relev",-0.39,0.14,-0.7,-0.5,-0.08,0.79,"Metahomaloptera omeiensis","ecol_relev",0.45,1.32,8,25,25,"AMR"
"Misgurnus anguillicaudatus_ecol_relev",0.65,0.5,-2.06,-0.67,3.35,1.66,"Misgurnus anguillicaudatus","ecol_relev",8.5,12.6,8,25,25,"AMR"
"Mylopharyngodon piceus_ecol_relev",-0.79,1.14,-1.19,1.02,-0.39,1.27,"Mylopharyngodon piceus","ecol_relev",1.9,202.1,46,25,25,"AMR"
"Myxocyprinus asiaticus_ecol_relev",-0.45,0.88,-1,0.26,0.1,1.51,"Myxocyprinus asiaticus","ecol_relev",2,3,8,25,25,"AMR"
"Neogobius melanostomus_ecol_relev",-1.06,0.97,-2.17,0.69,0.05,1.25,"Neogobius melanostomus","ecol_relev",34,85,61,10,20,"AMR"
"Neogobius melanostomus_warm",0.14,0.71,-1.06,0.4,1.33,1.02,"Neogobius melanostomus","warm",30,80,26,25,28,"AMR"
"Oncorhynchus clarkii lewisi_ecol_relev",-6.58,1.83,-8.03,1.59,-5.14,2.07,"Oncorhynchus clarkii lewisi","ecol_relev",275,765,36,10,15,"AMR"
"Oncorhynchus kisutch_ecol_relev",1.3,0.79,-0.14,0.6,2.74,0.97,"Oncorhynchus kisutch","ecol_relev",1313,4108,80,8.83,14.53,"AMR"
"Oncorhynchus kisutch_warm",-0.28,1.01,-3.13,0.63,2.58,1.38,"Oncorhynchus kisutch","warm",1357,2977,35,17.76,18.3,"AMR"
"Oncorhynchus mykiss_ecol_relev",-0.37,0.81,-0.53,0.78,-0.2,0.85,"Oncorhynchus mykiss","ecol_relev",0.83,610,64,10,15,"AMR"
"Oncorhynchus mykiss_warm",-0.54,1.06,-0.6,1.02,-0.48,1.1,"Oncorhynchus mykiss","warm",0.66,92.72,102,12,24,"AMR"
"Oncorhynchus nerka_ecol_relev",1.6,0.77,-0.15,0.55,3.35,1,"Oncorhynchus nerka","ecol_relev",1520,3450,35,12,20,"AMR"
"Oncorhynchus nerka_warm",-2.1,1.22,-9.05,0.32,4.85,2.11,"Oncorhynchus nerka","warm",1700,3190,31,21,26,"AMR"
"Oncorhynchus tshawytscha_ecol_relev",-0.38,0.98,-0.46,0.96,-0.3,1,"Oncorhynchus tshawytscha","ecol_relev",12.68,7200,432,12,23,"AMR"
"Oncorhynchus tshawytscha_warm",-0.72,1.03,-0.84,1,-0.61,1.05,"Oncorhynchus tshawytscha","warm",15.08,6795.93,250,8,25,"AMR"
"Onychostoma simum_ecol_relev",-0.51,0.61,-0.81,0.34,-0.21,0.87,"Onychostoma simum","ecol_relev",2.2,5.7,8,25,25,"AMR"
"Opsariichthys bidens_ecol_relev",-1.57,1.22,-2.76,0.72,-0.39,1.72,"Opsariichthys bidens","ecol_relev",6.02,17.64,7,25,25,"AMR"
"Oreochromis niloticus_ecol_relev",0.06,0.92,-3.78,-0.01,3.9,1.86,"Oreochromis niloticus","ecol_relev",45.5,86.5,8,26,26,"AMR"
"Oreochromis niloticus_warm",2.39,0.43,0.44,-0.05,4.33,0.9,"Oreochromis niloticus","warm",45.5,86.5,8,37,39,"AMR"
"Parabramis pekinensis_ecol_relev",-0.71,0.81,-2.08,-0.1,0.67,1.73,"Parabramis pekinensis","ecol_relev",3.77,5.71,8,25,25,"AMR"
"Paracirrhites arcatus_ecol_relev",0.08,0.72,-0.14,0.61,0.3,0.83,"Paracirrhites arcatus","ecol_relev",2,15.99,56,24,28,"AMR"
"Paracirrhites arcatus_warm",0.11,0.79,-0.05,0.7,0.26,0.88,"Paracirrhites arcatus","warm",1,20,58,29,33,"AMR"
"Paralichthys olivaceus_ecol_relev",-1.28,0.98,-9.42,-0.78,6.85,2.74,"Paralichthys olivaceus","ecol_relev",84.5,114.5,40,18,18,"AMR"
"Perca fluviatilis_ecol_relev",-0.51,0.85,-0.65,0.82,-0.38,0.89,"Perca fluviatilis","ecol_relev",4.5,882,162,15,28,"AMR"
"Perca fluviatilis_warm",0.1,0.79,-0.07,0.75,0.26,0.83,"Perca fluviatilis","warm",7.1,591,34,28,28,"AMR"
"Percocypris pingi_ecol_relev",0.99,0.54,0.14,0.21,1.84,0.88,"Percocypris pingi","ecol_relev",8.6,15.9,8,25,25,"AMR"
"Phoxinus phoxinus_ecol_relev",-0.35,0.93,-0.47,0.81,-0.24,1.05,"Phoxinus phoxinus","ecol_relev",0.68,7.44,136,10,13,"AMR"
"Piaractus mesopotamicus_ecol_relev",0.92,0.68,-1.78,0.05,3.62,1.3,"Piaractus mesopotamicus","ecol_relev",57,119,8,26,26,"AMR"
"Piaractus mesopotamicus_warm",1.58,0.63,0.71,0.43,2.45,0.83,"Piaractus mesopotamicus","warm",57,119,8,36,39,"AMR"
"Poecilia reticulata_ecol_relev",-0.51,0.63,-0.74,0.5,-0.28,0.76,"Poecilia reticulata","ecol_relev",0.09,0.63,85,25,26,"AMR"
"Pomacentrus amboinensis_ecol_relev",0.73,0.9,-0.12,0.58,1.58,1.21,"Pomacentrus amboinensis","ecol_relev",0.04,0.12,72,28,28,"AMR"
"Procypris rabaudi_ecol_relev",-3.06,2.18,-3.67,1.84,-2.45,2.51,"Procypris rabaudi","ecol_relev",2.8,10.9,15,25,25,"AMR"
"Pseudobagrus vachellii_ecol_relev",0.58,-0.04,0.01,-0.94,1.15,0.86,"Pseudobagrus vachellii","ecol_relev",1.4,2.7,8,25,25,"AMR"
"Pseudorasbora parva_ecol_relev",-1.41,1.53,-2.2,0.93,-0.61,2.12,"Pseudorasbora parva","ecol_relev",1.2,6.4,15,25,25,"AMR"
"Rhinogobius giurinus_ecol_relev",-0.4,0.65,-0.74,-0.27,-0.06,1.58,"Rhinogobius giurinus","ecol_relev",1.01,1.97,8,25,25,"AMR"
"Rhodeus ocellatus_ecol_relev",-1.32,1.46,-3.55,-0.04,0.91,2.96,"Rhodeus ocellatus","ecol_relev",2.8,7,15,25,25,"AMR"
"Rhodeus sinensis_ecol_relev",-2.04,1.29,-3.53,0.61,-0.54,1.98,"Rhodeus sinensis","ecol_relev",5.23,11.4,7,25,25,"AMR"
"Salmo trutta_ecol_relev",-0.42,0.99,-0.47,0.97,-0.37,1.01,"Salmo trutta","ecol_relev",5.37,68.2,430,11.5,15,"AMR"
"Salvelinus alpinus_ecol_relev",4.03,-0.02,-2.93,-1.57,10.98,1.53,"Salvelinus alpinus","ecol_relev",78.72,105.66,6,11,11,"AMR"
"Salvelinus alpinus_warm",1.34,0.6,0.13,0.34,2.55,0.87,"Salvelinus alpinus","warm",54.92,164.47,7,21,21,"AMR"
"Sarcocheilichthys parvus_ecol_relev",-1.33,0.63,-2.76,-0.65,0.1,1.91,"Sarcocheilichthys parvus","ecol_relev",2.09,4.19,8,25,25,"AMR"
"Schizothorax wangchiachii_ecol_relev",-2.63,1.93,-4.66,1.09,-0.6,2.77,"Schizothorax wangchiachii","ecol_relev",7,20.6,15,25,25,"AMR"
"Sciaenops ocellatus_ecol_relev",-0.92,1.24,-3.6,0.38,1.76,2.11,"Sciaenops ocellatus","ecol_relev",18.8,24,8,21,21,"AMR"
"Silurus meridionalis_ecol_relev",0.62,0.59,-2.05,-0.32,3.29,1.5,"Silurus meridionalis","ecol_relev",8.8,29.3,8,25,25,"AMR"
"Sinibrama taeniatus_ecol_relev",1.5,0.31,-0.86,-0.86,3.85,1.47,"Sinibrama taeniatus","ecol_relev",5.9,10.1,8,25,25,"AMR"
"Siniperca chuatsi_ecol_relev",-1.04,1.24,-1.81,0.9,-0.28,1.59,"Siniperca chuatsi","ecol_relev",5.9,13.2,8,25,25,"AMR"
"Spinibarbus sinensis_ecol_relev",-2.03,1.66,-2.55,1.42,-1.5,1.89,"Spinibarbus sinensis","ecol_relev",3.76,28.4,16,25,25,"AMR"
"Tachysurus dumerili_ecol_relev",2.12,-0.06,0.07,-0.82,4.16,0.69,"Tachysurus dumerili","ecol_relev",11,19.5,8,25,25,"AMR"
"Tautogolabrus adspersus_ecol_relev",-0.6,0.9,-0.62,0.88,-0.57,0.92,"Tautogolabrus adspersus","ecol_relev",0.45,19.45,340,15,15,"AMR"
"Thalassoma amblycephalum_ecol_relev",0.29,0.68,0.15,0.19,0.43,1.18,"Thalassoma amblycephalum","ecol_relev",0.94,1.92,15,29,29,"AMR"
"Thalassoma amblycephalum_warm",0.1,1.33,-0.01,0.9,0.21,1.76,"Thalassoma amblycephalum","warm",0.76,1.92,26,31,31,"AMR"
"Triplophysa rosa_ecol_relev",1.04,0.1,-1.01,-0.87,3.09,1.07,"Triplophysa rosa","ecol_relev",4.7,11.6,7,25,25,"AMR"
"Zacco platypus_ecol_relev",1.02,0.32,-0.91,-0.58,2.95,1.22,"Zacco platypus","ecol_relev",4.8,13.39,14,25,25,"AMR"
