"metabolism metric","model","BIC","scaling slope","intercept coef","temperature coef"
"Phylo_RMR_model5","Formula: lnRMR ~ lnBWg + tempTest + (1 | species) + (0 + lnBWg | species:trial) +      (1 | species:trial)","2208.680261609","0.812865460605227","-3.49737701047638","0.0605540731053154"
"Phylo_RMR_model4","Formula: lnRMR ~ lnBWg + tempTest + (1 | species) + (0 + lnBWg | species) +      (1 | species:trial)","2212.05146884437","0.828269080597447","-2.906024654731","0.0605165142100361"
"Phylo_RMR_model4int","Formula: lnRMR ~ lnBWg * tempTest + (1 | species) + (0 + lnBWg | species) +      (1 | species:trial)","2212.33939646647","0.774582685585874","-2.71818876801358","0.0519708781936433"
"Phylo_MMR_model4int","Formula: lnAMR ~ lnBWg * tempTest + (1 | species) + (0 + lnBWg | species) +      (1 | species:trial)","230.132712199573","0.711123622416978","-0.609545012341556","0.0175913533354891"
"Phylo_MMR_model4","Formula: lnAMR ~ lnBWg + tempTest + (1 | species) + (0 + lnBWg | species) +      (1 | species:trial)","234.464229068231","0.791097794868498","-0.929458554812577","0.0315084343572168"
"Phylo_AS_model4","Formula: lnAS ~ lnBWg + tempTest + (1 | species) + (0 + lnBWg | species) +      (1 | species:trial)","1376.9394564687","0.749519531207315","-1.01371000753591","0.0280067922512119"
"Phylo_AS_model4int","Formula: lnAS ~ lnBWg * tempTest + (1 | species) + (0 + lnBWg | species) +      (1 | species:trial)","1383.86040546038","0.786064142020187","-1.18094185492151","0.0351885013450483"
"Phylo_FAS_model4","Formula: log(FAS) ~ lnBWg + tempTest + (1 | species) + (0 + lnBWg | species) +      (1 | species:trial)","1577.89913638635","-0.0292468555162271","1.99092032999375","-0.0247562500973359"
"Phylo_FAS_model4int","Formula: log(FAS) ~ lnBWg * tempTest + (1 | species) + (0 + lnBWg | species) +      (1 | species:trial)","1581.22028616842","0.0343152851425434","1.70889279815476","-0.0124003609574959"
"Phylo_FAS_model5","Formula: log(FAS) ~ lnBWg + tempTest + (1 | species) + (0 + lnBWg | species:trial) +      (1 | species:trial)","1581.91571641423","0.0237418167948135","1.8410752318973","-0.0280069900705777"
"Phylo_RMR_W_model1","Formula: lnRMR ~ lnBWg + tempTest + (1 | species) + (1 | species:trial)","-17.9213066477337","0.838199850623263","-3.18099628093749","0.0743531441673528"
"Phylo_RMR_W_model2","Formula: lnRMR ~ lnBWg + tempTest + (1 | species) + (0 + tempTest | species) +      (1 | species:trial)","-15.8715683189813","0.837204888921114","-2.99626711158887","0.0779246503709139"
"Phylo_RMR_W_model1int","Formula: lnRMR ~ lnBWg * tempTest + (1 | species) + (1 | species:trial)","-14.7283805542151","0.912046558798668","-3.3745102632811","0.0803698540379326"
"Phylo_RMR_W_model1.POLY","Formula: lnRMR ~ lnBWg + poly(tempTest, 2) + (1 | species) + (1 | species:trial)","-13.4457437861023","0.837385865671426","-1.17608108435684",NA
"Phylo_RMR_W_model4","Formula: lnRMR ~ lnBWg + tempTest + (1 | species) + (0 + lnBWg | species) +      (1 | species:trial)","-13.0711090956423","0.789140850389471","-3.08614019828085","0.0720090296182634"
"Phylo_RMR_W_model2.POLY","Formula: lnRMR ~ lnBWg + poly(tempTest, 2) + (1 | species) + (0 + tempTest |      species) + (1 | species:trial)","-12.6928266711634","0.836997853782892","-0.829168514628162",NA
"Phylo_RMR_W_model5","Formula: lnRMR ~ lnBWg + tempTest + (1 | species) + (0 + lnBWg | species:trial) +      (1 | species:trial)","-11.0925945760467","0.838199885822817","-3.18099636051437","0.074353141898175"
"Phylo_MMR_W_model4","Formula: lnAMR ~ lnBWg + tempTest + (1 | species) + (0 + lnBWg | species) +      (1 | species:trial)","-62.4279697073207","0.752079915141942","-0.528918903709031","0.0235289726373801"
"Phylo_MMR_W_model5","Formula: lnAMR ~ lnBWg + tempTest + (1 | species) + (0 + lnBWg | species:trial) +      (1 | species:trial)","-61.558095846276","0.821556135360162","-0.746411249078589","0.0221351458556983"
"Phylo_MMR_W_model5int","Formula: lnAMR ~ lnBWg * tempTest + (1 | species) + (0 + lnBWg | species:trial) +      (1 | species:trial)","-60.1966022008425","0.908056120100667","-0.937907072771874","0.0300833002214621"
"Phylo_MMR_W_model4int","Formula: lnAMR ~ lnBWg * tempTest + (1 | species) + (0 + lnBWg | species) +      (1 | species:trial)","-59.082816896336","0.825880444480919","-0.697933679689164","0.0299643710451956"
"Phylo_MMR_W_model1int","Formula: lnAMR ~ lnBWg * tempTest + (1 | species) + (1 | species:trial)","-58.4346398804569","0.908000741041938","-0.896489148110156","0.0319668358138666"
"Phylo_MMR_W_model1","Formula: lnAMR ~ lnBWg + tempTest + (1 | species) + (1 | species:trial)","-57.5163221487695","0.799185178762463","-0.637889920306175","0.0228728036357622"
"Phylo_MMR_W_model2int","Formula: lnAMR ~ lnBWg * tempTest + (1 | species) + (0 + tempTest | species) +      (1 | species:trial)","-57.1897342185939","0.946797542774615","-0.530311274993892","0.0220605419311103"
"Phylo_MMR_W_model4.POLY","Formula: lnAMR ~ lnBWg + poly(tempTest, 2) + (1 | species) + (0 + lnBWg |      species) + (1 | species:trial)","-56.6698114875159","0.752468147522301","0.1165044218428",NA
"Phylo_MMR_W_model5.POLY","Formula: lnAMR ~ lnBWg + poly(tempTest, 2) + (1 | species) + (0 + lnBWg |      species:trial) + (1 | species:trial)","-55.777835702952","0.820568978696859","-0.13285075551573",NA
"Phylo_AS_W_model2.POLY","Formula: lnAS ~ lnBWg + poly(tempTest, 2) + (1 | species) + (0 + tempTest |      species) + (1 | species:trial)","727.976107962839","0.749351209851403","-1.27782657026606",NA
"Phylo_AS_W_model2int","Formula: lnAS ~ lnBWg * tempTest + (1 | species) + (0 + tempTest | species) +      (1 | species:trial)","730.90117260758","1.18275427059258","-0.85383754576589","-0.00416563238620991"
"Phylo_FAS_W_model2.POLY","Formula: lnFAS ~ lnBWg + poly(tempTest, 2) + (1 | species) + (0 + tempTest |      species) + (1 | species:trial)","262.284311976336","-0.0612122589399189","0.580057734694813",NA
"Phylo_FAS_W_model1","Formula: lnFAS ~ lnBWg + tempTest + (1 | species) + (1 | species:trial)","265.120286733449","-0.0300754645818645","2.25533744614575","-0.0466946773531704"
"Phylo_FAS_W_model1intPOLY","Formula: lnFAS ~ lnBWg * poly(tempTest, 2) + (1 | species) + (1 | species:trial)","265.736502965937","-0.0305820590268209","0.787465174013147",NA
"Phylo_FAS_W_model2intPOLY","Formula: lnFAS ~ lnBWg * poly(tempTest, 2) + (1 | species) + (0 + tempTest |      species) + (1 | species:trial)","268.47625485194","-0.0471623519928171","0.69751183747463",NA
